variable,origen,rol,fuente,momento,disponible_T0,uso_pd,racional,uso_oficial,transformacion,imputacion,encoding,riesgo_leakage,uso_final
bureau_score,Original del dataset,Buró,Consulta a buró en T0,T0,Sí,Candidata,3.3% sin score: faltante compatible con MCAR y no thin-file (su historial de buró es igual al del resto). No excluye.,Si,Winsorización p1-p99 (topes ajustados en DEV),"Mediana de DEV, riesgo neutral (score no disponible, no thin-file); flag_sin_buro solo para política y monitoreo",No aplica (numérica),"Bajo, siempre que la consulta se archive con la fecha de la solicitud",Modelo PD
prior_delinquencies_24m,Original del dataset,Buró,Consulta a buró en T0,T0,Sí,Candidata,Historial de mora de los 24 meses previos a T0.,Si,Winsorización p1-p99 (topes ajustados en DEV),Mediana de DEV,No aplica (numérica),Bajo: medida en T0,Modelo PD
bureau_inquiries_6m,Original del dataset,Buró,Consulta a buró en T0,T0,Sí,Candidata,Consultas previas a T0 (sin contar la consulta de esta solicitud).,Si,Winsorización p1-p99 (topes ajustados en DEV),Mediana de DEV,No aplica (numérica),Medio: debe excluir la consulta generada por esta misma solicitud,Modelo PD
active_loans,Original del dataset,Buró,Consulta a buró en T0,T0,Sí,Candidata,Obligaciones vigentes en T0.,Si,Winsorización p1-p99 (topes ajustados en DEV),Mediana de DEV,No aplica (numérica),Bajo: medida en T0,Modelo PD
monthly_debt_payment,Original del dataset,Buró,Consulta a buró en T0,T0,Sí,Candidata,Cuota de deudas existentes; no incluye la cuota del crédito solicitado.,Si,Winsorización p1-p99 (topes ajustados en DEV),Mediana de DEV,No aplica (numérica),Bajo: medida en T0,Modelo PD
dti,Original del dataset,Derivada,Buró / ingreso declarado,T0,Sí,Candidata,"= monthly_debt_payment / monthly_income, sin la nueva cuota. El pipeline lo recalcula: sin ingreso no hay dti.",Si,Se recalcula en el pipeline como monthly_debt_payment / monthly_income (sin ingreso queda faltante); Winsorización p1-p99 (topes ajustados en DEV),Mediana de DEV,No aplica (numérica),Bajo: medida en T0,"Modelo PD (6.5 elige entre dti y dti_post, que miden lo mismo)"
savings_balance,Original del dataset,Interno,Core de ahorros / declarado,T0,Sí,Candidata,"7.7% faltante, compatible con MCAR (igual en clientes nuevos y antiguos) y no informativo del riesgo.",Si,Winsorización p1-p99 (topes ajustados en DEV),Mediana de DEV (faltante compatible con MCAR); flag_sin_ahorro solo para monitoreo,No aplica (numérica),Bajo: medida en T0,Modelo PD
new_customer_flag,Original del dataset,Interno,CRM,T0,Sí,Candidata,Relación previa con la Caja.,Si,Winsorización p1-p99 (topes ajustados en DEV),Mediana de DEV,No aplica (numérica),Bajo: medida en T0,Modelo PD
relationship_months,Original del dataset,Interno,CRM,T0,Sí,Candidata,0 para clientes nuevos (consistente); 205 casos exceden la edad adulta.,Si,Winsorización p1-p99 (topes ajustados en DEV),Mediana de DEV,No aplica (numérica),Bajo: medida en T0,Modelo PD
requested_amount,Original del dataset,Solicitud,Declarado,T0,Sí,Candidata,Monto solicitado (no el aprobado).,Si,Winsorización p1-p99 (topes ajustados en DEV),Mediana de DEV,No aplica (numérica),"Bajo: es el monto solicitado; si hay contraoferta, el score se recalcula",Modelo PD
term_months,Original del dataset,Solicitud,Declarado,T0,Sí,Candidata,Supuesto: plazo solicitado/propuesto antes de la decisión (existe también en rechazados).,Si,Winsorización p1-p99 (topes ajustados en DEV),Mediana de DEV,No aplica (numérica),"Bajo: es el plazo solicitado; si hay contraoferta, el score se recalcula",Modelo PD
annual_interest_rate_offer,Original del dataset,Política,Motor de pricing histórico,T0 (output de política),Sí,Excluida,Endógena: resulta de la evaluación de riesgo previa (corr. Spearman -0.43 con bureau_score).,Condicional,No se transforma,No aplica,No aplica,Alto: incorpora la evaluación de riesgo de la política anterior,Solo análisis de pricing
collateral_value,Original del dataset,No aplica,-,-,No,No,100% vacío: producto sin garantía.,Si,No se transforma,No aplica,No aplica,No aplica,Descartada: 100% vacía en este producto
ltv,Original del dataset,No aplica,-,-,No,No,100% vacío: producto sin garantía.,Si,No se transforma,No aplica,No aplica,No aplica,Descartada: 100% vacía en este producto
credit_limit,Original del dataset,No aplica,-,-,No,No,100% vacío: producto no revolvente.,Si,No se transforma,No aplica,No aplica,No aplica,Descartada: 100% vacía en este producto
balance_at_observation,Original del dataset,No aplica,-,-,No,No,100% vacío: producto no revolvente.,Si,No se transforma,No aplica,No aplica,No aplica,Descartada: 100% vacía en este producto
utilization_at_observation,Original del dataset,No aplica,-,-,No,No,100% vacío: producto no revolvente.,Si,No se transforma,No aplica,No aplica,No aplica,Descartada: 100% vacía en este producto
undrawn_amount_at_observation,Original del dataset,No aplica,-,-,No,No,100% vacío: producto no revolvente.,Si,No se transforma,No aplica,No aplica,No aplica,Descartada: 100% vacía en este producto
distance_to_branch_km,Original del dataset,Solicitud,Geocodificación de la dirección,T0,Sí,Candidata (fairness),Proxy de ruralidad/territorio; más relevante para costo de servir y cobranza.,Si,Winsorización p1-p99 (topes ajustados en DEV),Mediana de DEV,No aplica (numérica),Bajo: medida en T0,Modelo PD sujeto a revisión de discriminación indirecta
household_dependents,Original del dataset,Solicitud,Declarado,T0,Sí,Candidata (fairness),Proxy de situación familiar.,Si,Winsorización p1-p99 (topes ajustados en DEV),Mediana de DEV,No aplica (numérica),Bajo: medida en T0,Modelo PD sujeto a revisión de discriminación indirecta
cash_income_share,Original del dataset,Solicitud,Declarado / evaluación del asesor,T0,Sí,Candidata (fairness),Proxy de informalidad con efecto débil e inestable en el tiempo (ver 6.3): no penaliza por sí misma; sustenta la verificación de ingreso.,Si,Winsorización p1-p99 (topes ajustados en DEV),Mediana de DEV,No aplica (numérica),Bajo: medida en T0,Modelo PD sujeto a revisión de discriminación indirecta
approved_flag,Original del dataset,Decisión,Decisión histórica,Post-decisión,No,No,Resultado de la decisión que el modelo busca reemplazar; genera sesgo de selección.,No para PD,No se transforma,No aplica,No aplica,Crítico: es la decisión que el modelo debe reemplazar,Solo análisis de sesgo de selección
outcome_available_flag,Original del dataset,Filtro,Performance,T0+12m,No,Filtro,Filtro obligatorio de población PD (=1).,Filtro,No se transforma,No aplica,No aplica,Posterior a la decisión,Filtro de población PD
default_12m_flag,Original del dataset,Target PD,Performance,T0+12m,No,Target,"90+ DPD en (T0, T0+12m].",Target,No se transforma,No aplica,No aplica,Es el target (T0 + 12m),Variable objetivo del modelo PD
ead_at_default,Original del dataset,Post-default,Performance,Fecha de default,No,No,Exposición al default.,Target EAD,No se transforma,No aplica,No aplica,Crítico: se conoce después del incumplimiento,No usar en PD; insumo de exposición
balance_at_default,Original del dataset,Post-default,Performance,Fecha de default,No,No,Idéntica a ead_at_default en el 100% de defaults.,No para PD; EAD,No se transforma,No aplica,No aplica,Crítico: se conoce después del incumplimiento,No usar en PD; insumo de exposición
ccf_observed,Original del dataset,No aplica,-,-,No,No,100% vacío: producto no revolvente.,Target/auxiliar EAD,No se transforma,No aplica,No aplica,No aplica,Descartada: 100% vacía en este producto
recovery_amount_total,Original del dataset,Post-default,Workout,Post-default,No,No,Recuperaciones.,No para PD; LGD,No se transforma,No aplica,No aplica,Crítico: se conoce después del incumplimiento,No usar en PD; insumo de severidad
recovery_cost_total,Original del dataset,Post-default,Workout,Post-default,No,No,Costos de recuperación.,No para PD; LGD,No se transforma,No aplica,No aplica,Crítico: se conoce después del incumplimiento,No usar en PD; insumo de severidad
months_to_recovery,Original del dataset,Post-default,Workout,Post-default,No,No,Tiempo de workout.,No para PD; LGD,No se transforma,No aplica,No aplica,Crítico: se conoce después del incumplimiento,No usar en PD; insumo de severidad
lgd_observed,Original del dataset,Post-default,Workout,Post-default,No,No,Severidad observada.,Target LGD,No se transforma,No aplica,No aplica,Crítico: se conoce después del incumplimiento,No usar en PD; insumo de severidad
cuota_estimada,Derivada en 6.3,Derivada,Calculada a partir de variables de T0,T0,Sí,Insumo,Cuota mensual del crédito solicitado; insumo de la capacidad de pago.,No aplica (no está en el diccionario oficial),"monto * r / (1 - (1+r)^-plazo), con r = (1+TEA_ref)^(1/12) - 1",No aplica (sin faltantes),No aplica (numérica),Bajo: solo usa insumos de T0 y no depende de estadísticos de la muestra,Insumo (no predictor)
dti_post,Derivada en 6.3,Derivada,Calculada a partir de variables de T0,T0,Sí,Candidata,"Carga total de deuda si se aprueba el crédito. Como predictor es intercambiable con `dti` (miden lo mismo y ninguna aporta de forma robusta sobre la otra); se prefiere porque incorpora la cuota del crédito que se decide, así la PD reacciona a una contraoferta de monto o plazo, y es la misma medida de la regla de capacidad de pago.",No aplica (no está en el diccionario oficial),(monthly_debt_payment + cuota_estimada) / monthly_income,Mediana de DEV,No aplica (numérica),Bajo: solo usa insumos de T0 y no depende de estadísticos de la muestra,Candidata PD (6.5 elige entre dti y dti_post) y regla de política
ahorro_sobre_monto,Derivada en 6.3,Derivada,Calculada a partir de variables de T0,T0,Sí,Candidata,Colchón de ahorro frente al tamaño del crédito pedido. Es la derivada de ahorro que se conserva: `colchon_ahorro_meses` mide lo mismo y no agrega información.,No aplica (no está en el diccionario oficial),savings_balance / requested_amount,Mediana de DEV,No aplica (numérica),Bajo: solo usa insumos de T0 y no depende de estadísticos de la muestra,Candidata PD (6.5 elige entre ella y savings_balance)
flag_sin_buro,Derivada en 6.3,Derivada,Calculada a partir de variables de T0,T0,Sí,Política / monitoreo,"Score de buró no disponible. No identifica un cliente thin-file: estas solicitudes tienen el mismo historial de buró que el resto. Su menor default en DEV se concentra en 2021-2022 y desaparece en 2023, por eso no entra al modelo; sirve para política (re-consultar el buró) y monitoreo.",No aplica (no está en el diccionario oficial),1 si bureau_score es nulo,No aplica (sin faltantes),No aplica (numérica),Bajo: solo usa insumos de T0 y no depende de estadísticos de la muestra,Política y monitoreo (no predictor)
flag_sin_ingreso,Derivada en 6.3,Derivada,Calculada a partir de variables de T0,T0,Sí,Política / monitoreo,Sin ingreso no hay capacidad de pago calculable (dti y dti_post quedan faltantes). El faltante es compatible con MCAR y no predice default; en política deriva a verificación de ingreso.,No aplica (no está en el diccionario oficial),1 si monthly_income es nulo,No aplica (sin faltantes),No aplica (numérica),Bajo: solo usa insumos de T0 y no depende de estadísticos de la muestra,Política y monitoreo (no predictor)
flag_sin_ahorro,Derivada en 6.3,Derivada,Calculada a partir de variables de T0,T0,Sí,Política / monitoreo,Faltante compatible con MCAR: igual en clientes nuevos y antiguos y sin relación con el default. Solo se monitorea su tasa como control de calidad de datos.,No aplica (no está en el diccionario oficial),1 si savings_balance es nulo,No aplica (sin faltantes),No aplica (numérica),Bajo: solo usa insumos de T0 y no depende de estadísticos de la muestra,Monitoreo (no predictor)
colchon_ahorro_meses,Derivada evaluada y descartada en 6.3,Derivada,Calculada a partir de variables de T0,T0,Sí,No,Ver features_evaluacion.csv (pre-selección R1-R5 en DEV),No aplica (no está en el diccionario oficial),savings_balance / cuota_estimada,No aplica,No aplica,Bajo,Descartada
deuda_por_obligacion,Derivada evaluada y descartada en 6.3,Derivada,Calculada a partir de variables de T0,T0,Sí,No,Ver features_evaluacion.csv (pre-selección R1-R5 en DEV),No aplica (no está en el diccionario oficial),monthly_debt_payment / (1 + active_loans),No aplica,No aplica,Bajo,Descartada
dti_post_verificable,Derivada evaluada y descartada en 6.3,Derivada,Calculada a partir de variables de T0,T0,Sí,No,Ver features_evaluacion.csv (pre-selección R1-R5 en DEV),No aplica (no está en el diccionario oficial),"(monthly_debt_payment + cuota_estimada) / (monthly_income * (1 - cash_income_share)), tope 10",No aplica,No aplica,Bajo,Descartada
excedente_per_capita,Derivada evaluada y descartada en 6.3,Derivada,Calculada a partir de variables de T0,T0,Sí,No,Ver features_evaluacion.csv (pre-selección R1-R5 en DEV),No aplica (no está en el diccionario oficial),(monthly_income - monthly_debt_payment - cuota_estimada) / (1 + household_dependents),No aplica,No aplica,Bajo,Descartada
antiguedad_relativa,Derivada evaluada y descartada en 6.3,Derivada,Calculada a partir de variables de T0,T0,Sí,No,Ver features_evaluacion.csv (pre-selección R1-R5 en DEV),No aplica (no está en el diccionario oficial),"employment_tenure_months / ((age - 14) * 12), tope 1",No aplica,No aplica,Bajo,Descartada
intensidad_busqueda,Derivada evaluada y descartada en 6.3,Derivada,Calculada a partir de variables de T0,T0,Sí,No,Ver features_evaluacion.csv (pre-selección R1-R5 en DEV),No aplica (no está en el diccionario oficial),bureau_inquiries_6m / (1 + active_loans),No aplica,No aplica,Bajo,Descartada
campana_siembra,Derivada evaluada y descartada en 6.3,Derivada,Calculada a partir de variables de T0,T0,Sí,No,Ver features_evaluacion.csv (pre-selección R1-R5 en DEV),No aplica (no está en el diccionario oficial),1 si el mes de observation_date está entre setiembre y diciembre,No aplica,No aplica,Bajo,Descartada
loan_to_income,Derivada evaluada y descartada en 6.3,Derivada,Calculada a partir de variables de T0,T0,Sí,No,Ver features_evaluacion.csv (pre-selección R1-R5 en DEV),No aplica (no está en el diccionario oficial),requested_amount / monthly_income,No aplica,No aplica,Bajo,Descartada
