grupo,evidencia,estado,faltante,tipo,item,dónde se resuelve
Arquitectura end-to-end,reports/figures/fig34_arquitectura.png|reports/13_arquitectura_api_mlops.md,Cumple,,Checklist de entrega,,
API funcional,api/main.py|api/static/index.html|reports/tables/api_ejemplos.json,Cumple,,Checklist de entrega,,
Artefacto/modelo persistido,models/scorecard_pd_v1.json|models/registry.json,Cumple,,Checklist de entrega,,
Model Registry y versionado,src/registry.py|reports/tables/mlops_inventario_modelos.csv,Cumple,,Checklist de entrega,,
Plan de monitoring con semáforos,reports/tables/monitoreo_umbrales.csv|reports/tables/monitoreo_semaforo.csv,Cumple,,Checklist de entrega,,
Model Card,models/model_card_scorecard_pd.md,Cumple,,Checklist de entrega,,
Inventario de modelos,reports/tables/gobierno_inventario.csv,Cumple,,Checklist de entrega,,
5+ findings de validación independiente,reports/independent_validation_report.md|reports/tables/gobierno_hallazgos_validacion.csv,Cumple,,Checklist de entrega,,
README de ejecución,README.md|run_all.py,Cumple,,Checklist de entrega,,
Anexo de trazabilidad,reports/16_anexo_trazabilidad.md|reports/tables/anexo_trazabilidad.csv,Cumple,,Checklist de entrega,,
Ficha de propuesta inicial (capítulo 13),reports/ficha_propuesta_inicial.md,Cumple,,Checklist de entrega,,
Persistencia del modelo Champion y del preprocesamiento (cap. 7),models/scorecard_pd_v1.json|models/pipeline_preprocesamiento_v1.joblib,Cumple,,Checklist de entrega,,
Diccionario de features (cap. 7),reports/diccionario_features.md|reports/tables/features_derivadas_doc.csv,Cumple,,Checklist de entrega,,
Salida mínima del motor de decisión (cap. 16),reports/tables/api_ejemplos.json|api/main.py,Cumple,,Checklist de entrega,,
6.1 Negocio y arquitectura crediticia,notebooks/00_negocio_y_poblacion.ipynb|reports/figures/fig01_ciclo_credito.png,Cumple,,Requisito técnico,"Describir el negocio, el producto y el ciclo de crédito end-to-end",reports/01_negocio_y_arquitectura_crediticia.md §2-§4
6.1 Negocio y arquitectura crediticia,reports/tables/risk_appetite.csv,Cumple,,Requisito técnico,Definir Risk Appetite con métricas y umbrales Verde/Ámbar/Rojo,reports/01_negocio_y_arquitectura_crediticia.md §6
6.1 Negocio y arquitectura crediticia,reports/tables/risk_appetite_factibilidad.csv,Cumple,,Requisito técnico,Prueba de factibilidad del apetito y regla de precedencia ante conflicto,reports/01_negocio_y_arquitectura_crediticia.md §6-§7
6.2 Definición del modelo y población,reports/tables/waterfall_poblacion.csv,Cumple,,Requisito técnico,"Definir target, ventana de performance y población elegible",reports/02_definicion_modelo_y_poblacion.md §2-§3
6.2 Definición del modelo y población,reports/tables/split_temporal.csv,Cumple,,Requisito técnico,Partición temporal Development / Validation / Out-of-Time,reports/02_definicion_modelo_y_poblacion.md §4
6.2 Definición del modelo y población,src/data.py|reports/tables/catalogo_variables.csv,Cumple,,Requisito técnico,Declarar variables prohibidas por leakage y endogeneidad,reports/02_definicion_modelo_y_poblacion.md §5
6.3 Data strategy y calidad,reports/tables/calidad_reglas_consistencia.csv|reports/tables/faltantes_mecanismo.csv,Cumple,,Requisito técnico,"Diagnóstico de calidad, faltantes y reglas de consistencia",reports/03_data_strategy_calidad_features.md §3-§4
6.3 Data strategy y calidad,reports/tables/features_evaluacion.csv|reports/tables/features_derivadas_doc.csv,Cumple,,Requisito técnico,Feature engineering con protocolo de preselección documentado,reports/03_data_strategy_calidad_features.md §6
6.3 Data strategy y calidad,src/pipeline.py|notebooks/01_calidad_y_features.ipynb,Cumple,,Requisito técnico,Pipeline reproducible ajustado solo con Development,reports/03_data_strategy_calidad_features.md §7
6.4 EDA orientado a riesgo,reports/tables/eda_tamizaje_variables.csv,Cumple,,Requisito técnico,Análisis univariado y bivariado con foco en el target,reports/04_eda_orientado_a_riesgo.md §3-§5
6.4 EDA orientado a riesgo,reports/tables/eda_descomposicion_perdida.csv|reports/tables/eda_cohortes_trimestrales.csv,Cumple,,Requisito técnico,Estabilidad temporal y descomposición de la pérdida,reports/04_eda_orientado_a_riesgo.md §6-§8
6.4 EDA orientado a riesgo,reports/04_eda_orientado_a_riesgo.md,Cumple,,Requisito técnico,Hallazgos accionables que alimentan modelo y política,reports/04_eda_orientado_a_riesgo.md §2
6.5 Scorecard tradicional,reports/tables/scorecard_seleccion_univariada.csv|reports/tables/scorecard_tramos_woe.csv,Cumple,,Requisito técnico,"Binning, WOE e IV con criterios de selección pre-registrados",reports/05_scorecard_tradicional.md §3-§5
6.5 Scorecard tradicional,reports/tables/scorecard_puntos.csv|reports/tables/scorecard_coeficientes.csv|models/scorecard_pd_v1.json,Cumple,,Requisito técnico,"Regresión logística, escala de puntos y reason codes",reports/05_scorecard_tradicional.md §6-§7
6.5 Scorecard tradicional,reports/tables/scorecard_reject_inference.csv,Cumple,,Requisito técnico,Análisis de reject inference como sensibilidad,reports/05_scorecard_tradicional.md §8
6.6 Modelos PD y Champion/Challenger,notebooks/04_modelos_pd.ipynb|reports/tables/modelos_comparacion.csv,Cumple,,Requisito técnico,"Entrenar logística, Random Forest, XGBoost y LightGBM",reports/06_modelos_pd.md §2-§3
6.6 Modelos PD y Champion/Challenger,reports/tables/modelos_tuning_lightgbm.csv|reports/tables/modelos_tuning_xgboost.csv,Cumple,,Requisito técnico,Tuning controlado con validación temporal dentro de Development,reports/06_modelos_pd.md §2
6.6 Modelos PD y Champion/Challenger,reports/tables/modelos_champion_challenger.csv,Cumple,,Requisito técnico,Selección de Champion y Challenger sin decidir solo por AUC,reports/06_modelos_pd.md §4
6.7 Validación y calibración,reports/tables/validacion_metricas.csv,Cumple,,Requisito técnico,"AUC, Gini, KS, Precision, Recall, F1, matriz de confusión y Brier",reports/07_validacion_calibracion.md §2
6.7 Validación y calibración,reports/tables/validacion_deciles_oot.csv|reports/figures/fig23_deciles_ganancias.png,Cumple,,Requisito técnico,"Lift, gains y deciles en Development, Validation y Out-of-Time",reports/07_validacion_calibracion.md §3
6.7 Validación y calibración,reports/tables/validacion_recalibracion.csv|models/calibrador_platt_v1.json,Cumple,,Requisito técnico,Curva de calibración y recalibración justificada (Platt vs isotónica),reports/07_validacion_calibracion.md §4-§5
6.7 Validación y calibración,reports/tables/validacion_estabilidad.csv,Cumple,,Requisito técnico,Estabilidad del score y de las variables con PSI,reports/07_validacion_calibracion.md §6
6.8 Explainability y Fair Lending,reports/tables/fairness_shap_global.csv|reports/figures/fig25_explicabilidad_global.png,Cumple,,Requisito técnico,"Explicación global y local, con SHAP para el modelo no lineal",reports/08_explainability_fairness.md §2-§3
6.8 Explainability y Fair Lending,reports/tables/fairness_casos_explicados.csv,Cumple,,Requisito técnico,"Tres clientes explicados: aprobado, revisión y rechazado",reports/08_explainability_fairness.md §3
6.8 Explainability y Fair Lending,reports/tables/fairness_proxy.csv,Cumple,,Requisito técnico,"Variables sensibles, proxies y riesgo de discriminación indirecta",reports/08_explainability_fairness.md §4-§6
6.8 Explainability y Fair Lending,reports/tables/fairness_air_aprobacion.csv|reports/tables/fairness_air_2025.csv,Cumple,,Requisito técnico,Comparación de aprobación y PD entre segmentos (AIR),reports/08_explainability_fairness.md §5
6.9 Cut-off y Decision Engine,src/decision.py|models/politica_decision_v1.json,Cumple,,Requisito técnico,"Política que combina PD, capacidad, reglas duras y apetito",reports/09_decision_engine.md §2
6.9 Cut-off y Decision Engine,reports/tables/decision_curva_tradeoff.csv|reports/figures/fig27_tradeoff.png,Cumple,,Requisito técnico,"Curva de trade-off: aprobación, bad rate, EL y métrica económica",reports/09_decision_engine.md §3
6.9 Cut-off y Decision Engine,reports/tables/decision_detalle_2024.csv,Cumple,,Requisito técnico,Tres salidas APPROVE / REVIEW / REJECT con motivo,reports/09_decision_engine.md §4
6.9 Cut-off y Decision Engine,reports/tables/decision_pricing_bandas.csv,Cumple,,Requisito técnico,"Pricing por riesgo y asignación de monto, con fórmula y supuestos",reports/09_decision_engine.md §6
6.9 Cut-off y Decision Engine,reports/tables/decision_swap_2024.csv,Cumple,,Requisito técnico,"Recomendación de política final, no solo escenarios",reports/09_decision_engine.md §9
6.10 EAD,notebooks/08_ead_lgd.ipynb|reports/figures/fig28_ead_coherencia.png,Cumple,,Requisito técnico,Variable respuesta y población definidas; sin CCF revolvente forzado,reports/10_ead.md §2-§3
6.10 EAD,reports/tables/ead_comparacion_modelos.csv|reports/tables/ead_error_por_segmento.csv,Cumple,,Requisito técnico,"Baseline segmentado contra modelo, con error, sesgo y estabilidad",reports/10_ead.md §4-§5
6.11 LGD,reports/tables/lgd_comparacion_modelos.csv,Cumple,,Requisito técnico,Baseline y modelo para variable acotada sobre cuentas en default,reports/11_lgd.md §3
6.11 LGD,reports/tables/lgd_economica.csv|reports/figures/fig30_lgd_distribucion.png,Cumple,,Requisito técnico,"Recuperaciones, costos, workout, extremos y LGD económica","reports/11_lgd.md §2, §5-§6"
6.11 LGD,reports/tables/lgd_error_por_segmento.csv|models/ead_lgd_v1.json,Cumple,,Requisito técnico,"Precisión, sesgo y estabilidad por segmentos",reports/11_lgd.md §4
6.12 Expected Loss y stress,src/portfolio.py|reports/tables/el_concentracion_deciles.csv,Cumple,,Requisito técnico,"Integrar PD, EAD y LGD a nivel cliente y cartera",reports/12_expected_loss_stress.md §3
6.12 Expected Loss y stress,reports/dashboard_cartera.html|reports/tables/el_tablero_segmentos.csv,Cumple,,Requisito técnico,Tablero de cartera por segmento con concentración,reports/12_expected_loss_stress.md §4
6.12 Expected Loss y stress,reports/tables/el_escenarios.csv|reports/figures/fig33_escenarios.png,Cumple,,Requisito técnico,"Escenarios Base, Adverse y Severe con shocks justificados",reports/12_expected_loss_stress.md §5
6.12 Expected Loss y stress,reports/tables/el_capital.csv|reports/tables/el_estabilizador.csv,Cumple,,Requisito técnico,"Impacto en EL, aprobación, rentabilidad y capital de riesgo",reports/12_expected_loss_stress.md §6-§7
6.12 Expected Loss y stress,reports/12_expected_loss_stress.md,Cumple,,Requisito técnico,Recomendación ejecutiva de crecimiento y segmentos,reports/12_expected_loss_stress.md §8
"6.13 Arquitectura, API y MLOps",reports/figures/fig34_arquitectura.png,Cumple,,Requisito técnico,Arquitectura lógica end-to-end con los cuatro entornos,reports/13_arquitectura_api_mlops.md §2
"6.13 Arquitectura, API y MLOps",api/main.py|api/static/index.html|reports/tables/api_ejemplos.json,Cumple,,Requisito técnico,Servicio de scoring funcional con ejemplo de request y response,reports/13_arquitectura_api_mlops.md §3
"6.13 Arquitectura, API y MLOps",src/registry.py|models/registry.json,Cumple,,Requisito técnico,"Model Registry con versionado, rollback y Champion/Challenger",reports/13_arquitectura_api_mlops.md §5
"6.13 Arquitectura, API y MLOps",reports/tables/mlops_disparadores.csv,Cumple,,Requisito técnico,Triggers de recalibración y reentrenamiento,reports/13_arquitectura_api_mlops.md §6
"6.13 Arquitectura, API y MLOps",Dockerfile|deploy/azure/main.bicep|deploy/azure/deploy.sh,Cumple,,Requisito técnico,Ruta de despliegue a la nube (opcional en el enunciado),reports/13_arquitectura_api_mlops.md §7
6.14 Gobierno y Model Risk,models/model_card_scorecard_pd.md|models/ficha_ead.md|models/ficha_lgd.md,Cumple,,Requisito técnico,Model Card del champion y fichas de EAD y LGD,reports/14_gobierno_model_risk.md §6
6.14 Gobierno y Model Risk,reports/tables/gobierno_inventario.csv|reports/tables/gobierno_ciclo_de_vida.csv,Cumple,,Requisito técnico,"Inventario, roles, ciclo de vida y tres líneas de defensa",reports/14_gobierno_model_risk.md §3-§5
6.14 Gobierno y Model Risk,reports/tables/gobierno_materialidad.csv,Cumple,,Requisito técnico,Materialidad y frecuencia de revisión,reports/14_gobierno_model_risk.md §2
6.14 Gobierno y Model Risk,reports/independent_validation_report.md|reports/tables/gobierno_hallazgos_validacion.csv,Cumple,,Requisito técnico,Validación independiente con 5+ hallazgos y plan de remediación,reports/14_gobierno_model_risk.md §7
6.14 Gobierno y Model Risk,reports/tables/gobierno_checklist_auditoria.csv|run_all.py,Cumple,,Requisito técnico,Checklist de auditoría y evidencia de reproducibilidad,reports/14_gobierno_model_risk.md §8
6.15 Monitoring,reports/dashboard_monitoreo.html|reports/figures/fig35_monitoreo.png,Cumple,,Requisito técnico,"Tablero con drift, performance, calibración, cartera y operación","reports/15_monitoring.md §4, §6"
6.15 Monitoring,reports/tables/monitoreo_umbrales.csv,Cumple,,Requisito técnico,Umbrales Verde/Ámbar/Rojo por indicador,reports/15_monitoring.md §2
6.15 Monitoring,reports/tables/monitoreo_acciones.csv|reports/tables/monitoreo_semaforo.csv,Cumple,,Requisito técnico,Acción concreta ante cada alerta,"reports/15_monitoring.md §2, §4"
6.15 Monitoring,reports/tables/monitoreo_cosechas.csv,Cumple,,Requisito técnico,"Separar monitoreo de datos, de modelo y de negocio",reports/15_monitoring.md §2
1. Informe ejecutivo,reports/informe_ejecutivo.md,Cumple,,Entregable,15 a 25 páginas para Gerencia de Riesgos,
2. Documento técnico del modelo,reports/documento_tecnico.md,Cumple,,Entregable,"Desarrollo completo con decisiones, supuestos, métricas y limitaciones",
3. Repositorio de código,run_all.py|src|notebooks|tests,Cumple,,Entregable,"Código reproducible, ordenado y versionado",
4. Arquitectura de solución,reports/figures/fig34_arquitectura.png|reports/13_arquitectura_api_mlops.md,Cumple,,Entregable,Diagrama end-to-end y descripción de entornos,
5. API / servicio de scoring,api/main.py|reports/tables/api_ejemplos.json|reports/tables/api_consistencia.csv,Cumple,,Entregable,Servicio local funcional y evidencia de al menos 3 consultas,
6. Model Cards e inventario,models/model_card_scorecard_pd.md|reports/tables/gobierno_inventario.csv,Cumple,,Entregable,"Ficha del champion, fichas de EAD y LGD e inventario",
7. Informe de validación independiente,reports/independent_validation_report.md,Cumple,,Entregable,Hallazgos priorizados y plan de remediación,
8. Dashboard de cartera y monitoreo,reports/dashboard_cartera.html|reports/dashboard_monitoreo.html,Cumple,,Entregable,"Tablero con métricas de riesgo, EL, drift y semáforos",
9. Presentación ejecutiva,reports/presentacion.md,Cumple,,Entregable,Máximo 10 slides para la sustentación,
10. Anexo de trazabilidad,reports/16_anexo_trazabilidad.md|reports/tables/anexo_trazabilidad.csv,Cumple,,Entregable,"Requisito del enunciado contra sección, archivo y evidencia",
El pipeline corre de punta a punta sin intervención manual,run_all.py,Cumple,,Technical Gate,"`python run_all.py` ejecuta pruebas, los 12 notebooks y la verificación final",
El target y la población coinciden con la definición oficial del caso,src/data.py|tests/test_data.py,Cumple,,Technical Gate,"Filtro `outcome_available_flag = 1` y target `default_12m_flag`, verificados por prueba automática",
No hay variables prohibidas ni leakage en la matriz del modelo,reports/tables/catalogo_variables.csv|tests/test_features.py,Cumple,,Technical Gate,Lista declarada en 6.2 y verificada en el pipeline y en las pruebas,
El champion se ejecuta desde su artefacto versionado,models/scorecard_pd_v1.json|models/registry.json|tests/test_api.py,Cumple,,Technical Gate,Scorecard en JSON con hash registrado; la API lo carga y verifica integridad,
Los resultados son reproducibles,requirements.txt|src/config.py|tests/test_despliegue.py,Cumple,,Technical Gate,"Semilla fija, versiones ancladas y reejecución limpia que regenera salidas idénticas",
